Loan_ID,Borrower_ID,Group_ID,Facility_ID,Portfolio_ID,Borrower_Name,Sector,Geography,Customer_Type,Credit_Rating_Internal,Credit_Rating_External,Low_Credit_Risk_Flag,Loan_Amount_Original,Loan_Amount_Outstanding,Currency,Product_Type,Drawdown_Date,Maturity_Date,Remaining_Term,Interest_Rate_Type,Interest_Rate,Effective_Interest_Rate,Repayment_Type,Repayment_Schedule,PD_12m,PD_Lifetime,LGD,EAD,SICR_Flag,Stage,Default_Flag,Days_Past_Due,Forbearance_Flag,Collateral_Value,Collateral_Type,Guarantee_Amount,Recovery_Strategy,Impairment_Allowance,Impairment_Model_Version,Date_Stage_Changed,ECL_Amount_12m,ECL_Amount_Lifetime,ECL_Scenario_Weights
LN00011,BR00011,GRP007,FAC0010,PORT9,Borrower_11,Retail,Brazil,SME,A2,A,0,253912.23,177203.55,EUR,Term Loan,7/6/22,4/9/25,-105,Variable,0.0642,0.0308,Amortizing,Semi-Annually,0.3391,0.4341,0.67,177203.55,1,3,1,30,0,107508.38,Receivables,55035.81,Restructure,51539.12,v3.0,10/19/24,40260.11,51539.12,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00012,BR00012,GRP044,FAC0082,PORT5,Borrower_12,Energy,India,SME,A1,AAA,0,933120.92,514889.83,GBP,Term Loan,3/21/21,11/24/23,-607,Fixed,0.0304,0.0554,Bullet,Semi-Annually,0.4403,0.53,0.28,514889.83,1,3,1,0,0,210380,Cash,54225.53,Write-off,76409.65,v3.0,3/13/23,63477.68,76409.65,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00013,BR00013,GRP024,FAC0006,PORT6,Borrower_13,Retail,South Africa,Retail,A1,A,0,29476.31,15847.11,INR,Term Loan,10/18/19,12/9/23,-592,Fixed,0.1411,0.0797,Bullet,Quarterly,0.4427,0.6283,0.38,15847.11,1,3,1,90,1,2181.29,Cash,3405.44,Write-off,3783.56,v1.0,10/19/20,2665.9,3783.56,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00014,BR00014,GRP015,FAC0026,PORT8,Borrower_14,Banking,Germany,Retail,A2,AAA,0,786738.77,555324.74,INR,Term Loan,4/5/23,2/13/26,205,Variable,0.0634,0.0397,Bullet,Semi-Annually,0.3383,0.4986,0.59,555324.74,1,3,1,10,1,484650.74,Guarantee,242167.9,Write-off,163362.1,v3.0,2/11/25,110841.15,163362.1,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00015,BR00015,GRP033,FAC0015,PORT7,Borrower_15,Energy,UK,SME,A1,B,0,879497.64,554617.89,BRL,Term Loan,4/24/15,12/15/16,-3142,Fixed,0.0737,0.0956,Bullet,Semi-Annually,0.2945,0.492,0.42,554617.89,1,3,1,0,1,358054.64,Receivables,86985.53,Sell Collateral,114606.24,v3.0,8/29/15,68600.69,114606.24,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00016,BR00016,GRP012,FAC0079,PORT10,Borrower_16,Banking,India,Corporate,A1,A,1,516980.05,430875.19,INR,Term Loan,1/27/23,10/3/25,72,Variable,0.0858,0.0678,Amortizing,Quarterly,0.1698,0.3244,0.26,430875.19,1,2,0,90,0,305743.07,Receivables,202589.69,Write-off,36341.74,v3.0,7/19/23,19022.28,36341.74,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00017,BR00017,GRP031,FAC0079,PORT2,Borrower_17,Construction,India,Corporate,C1,AA,0,298110.68,248006.3,INR,Term Loan,5/22/22,11/11/23,-620,Variable,0.078,0.0479,Bullet,Monthly,0.3134,0.3774,0.31,248006.3,1,3,1,10,0,79450.87,Real Estate,3028.83,Write-off,29015.25,v1.0,11/18/22,24094.8,29015.25,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00018,BR00018,GRP029,FAC0079,PORT9,Borrower_18,Construction,Brazil,SME,A2,B,0,475258.89,370085.47,INR,Term Loan,10/21/22,9/15/26,419,Variable,0.1202,0.1189,Revolving,Semi-Annually,0.4596,0.5278,0.53,370085.47,1,3,1,10,0,353444.82,Receivables,110184.13,Write-off,103525.49,v3.0,2/22/24,90148.38,103525.49,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00019,BR00019,GRP014,FAC0009,PORT7,Borrower_19,Construction,Germany,Corporate,B2,BBB,1,95933.69,61672.32,INR,Term Loan,1/29/18,7/17/21,-1467,Variable,0.1386,0.0436,Revolving,Monthly,0.1431,0.2411,0.24,61672.32,1,2,0,90,0,14648.7,Receivables,11811.34,Write-off,3568.61,v2.0,2/10/18,2118.07,3568.61,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00020,BR00020,GRP032,FAC0004,PORT7,Borrower_20,Banking,South Africa,Corporate,B2,B,1,758405.62,702832.67,INR,Term Loan,12/11/18,8/13/21,-1440,Fixed,0.1477,0.1108,Revolving,Monthly,0.4772,0.5901,0.6,702832.67,1,3,1,120,0,242928.34,Inventory,171571.81,Restructure,248844.94,v1.0,9/29/20,201235.05,248844.94,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00021,BR00021,GRP027,FAC0033,PORT2,Borrower_21,Construction,USA,Corporate,C1,AAA,0,869514.33,513765.16,GBP,Term Loan,10/22/19,7/25/21,-1459,Fixed,0.108,0.0985,Revolving,Monthly,0.1375,0.2366,0.36,513765.16,1,2,0,60,0,399097.32,Real Estate,97390.92,Legal Action,43760.46,v1.0,11/11/19,25431.38,43760.46,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00022,BR00022,GRP048,FAC0092,PORT2,Borrower_22,Retail,Germany,Retail,C1,AAA,0,253774.04,186975.77,BRL,Term Loan,12/19/21,10/27/23,-635,Variable,0.0776,0.099,Revolving,Quarterly,0.0661,0.2583,0.55,186975.77,1,2,0,60,0,120884.09,Real Estate,15686.25,Legal Action,26562.71,v1.0,10/23/22,6797.5,26562.71,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00023,BR00023,GRP032,FAC0014,PORT7,Borrower_23,Banking,South Africa,SME,A2,BBB,1,809417.4,726948.78,BRL,Term Loan,9/3/22,1/14/27,540,Variable,0.1039,0.0755,Revolving,Annually,0.2873,0.3435,0.39,726948.78,1,3,1,90,0,628533.05,Inventory,124028.79,Write-off,97385.69,v3.0,12/29/25,81452.43,97385.69,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00024,BR00024,GRP032,FAC0042,PORT3,Borrower_24,Construction,UK,SME,B1,A,1,854678.9,782343.59,BRL,Term Loan,1/4/18,10/25/20,-1732,Variable,0.0967,0.0813,Revolving,Quarterly,0.0525,0.2347,0.58,782343.59,1,2,0,10,0,315094.32,Real Estate,261376.48,Legal Action,106497.3,v3.0,4/15/20,23822.36,106497.3,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00025,BR00025,GRP031,FAC0071,PORT9,Borrower_25,Banking,India,Corporate,C1,A,0,763001.36,644968.61,INR,Term Loan,6/24/20,8/4/24,-353,Variable,0.0668,0.0923,Bullet,Monthly,0.3265,0.4501,0.31,644968.61,1,3,1,0,1,402073.45,Cash,98746.64,Sell Collateral,89993.12,v1.0,6/26/23,65280.5,89993.12,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00026,BR00026,GRP020,FAC0002,PORT9,Borrower_26,Retail,Germany,Retail,A1,BB,1,201446.85,122518.43,EUR,Term Loan,7/19/23,5/31/28,1043,Variable,0.0423,0.1049,Bullet,Semi-Annually,0.2473,0.406,0.69,122518.43,1,3,1,90,0,52044.97,Inventory,18147.83,Write-off,34322.31,v2.0,6/15/25,20906.18,34322.31,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00027,BR00027,GRP037,FAC0039,PORT2,Borrower_27,Retail,USA,Corporate,B2,BB,0,267428.82,248939.19,BRL,Term Loan,1/25/17,5/10/18,-2631,Fixed,0.1231,0.0867,Amortizing,Annually,0.0659,0.1257,0.24,248939.19,1,2,0,60,0,58320.93,Inventory,6672.7,Sell Collateral,7510,v3.0,9/1/17,3937.22,7510,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00028,BR00028,GRP011,FAC0001,PORT7,Borrower_28,Construction,South Africa,Corporate,B2,A,1,628606.77,505912.44,GBP,Term Loan,6/4/18,8/11/22,-1077,Variable,0.1144,0.0373,Amortizing,Monthly,0.3726,0.5647,0.33,505912.44,1,3,1,10,0,301925.01,Cash,60675.39,Sell Collateral,94277.29,v3.0,9/23/21,62205.98,94277.29,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00029,BR00029,GRP019,FAC0057,PORT2,Borrower_29,Construction,South Africa,SME,B2,A,0,436636.19,337205.92,INR,Term Loan,6/1/22,7/10/24,-378,Variable,0.0397,0.0577,Bullet,Annually,0.3273,0.5136,0.28,337205.92,1,3,1,10,1,206466.58,Guarantee,126276.49,Sell Collateral,48492.91,v1.0,9/2/22,30902.9,48492.91,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00030,BR00030,GRP029,FAC0036,PORT3,Borrower_30,Energy,India,Corporate,B2,AAA,0,839239.44,660984.61,INR,Term Loan,7/26/17,5/6/22,-1174,Variable,0.0685,0.0987,Bullet,Quarterly,0.4759,0.6758,0.49,660984.61,1,3,1,120,0,374822.86,Guarantee,57899.19,Write-off,218879.77,v3.0,5/5/20,154135.66,218879.77,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00031,BR00031,GRP001,FAC0085,PORT9,Borrower_31,Construction,India,Retail,A2,BB,0,946289.67,858079.4,INR,Term Loan,3/26/18,12/11/22,-955,Variable,0.1212,0.0995,Bullet,Semi-Annually,0.2795,0.3977,0.26,858079.4,1,3,1,30,1,722875.68,Receivables,371080.98,Legal Action,88727.13,v2.0,9/8/20,62356.63,88727.13,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00032,BR00032,GRP008,FAC0060,PORT2,Borrower_32,Healthcare,UK,SME,B1,BB,0,138997.56,137131.3,INR,Term Loan,10/31/22,7/19/26,361,Variable,0.1476,0.0667,Bullet,Annually,0.3083,0.3942,0.21,137131.3,1,3,1,10,0,117557.88,Receivables,15406.75,Legal Action,11352,v2.0,11/25/23,8878.29,11352,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00033,BR00033,GRP001,FAC0037,PORT5,Borrower_33,Energy,Brazil,Corporate,B2,CCC,1,751366.69,426967.26,BRL,Term Loan,9/21/21,7/27/25,4,Variable,0.0714,0.0606,Revolving,Annually,0.0442,0.2101,0.63,426967.26,0,1,0,0,0,145363.31,Inventory,168164.77,Sell Collateral,56514.67,v1.0,1/23/23,11889.33,56514.67,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00034,BR00034,GRP042,FAC0020,PORT8,Borrower_34,Manufacturing,UK,Corporate,C1,A,0,248891.2,220958.7,INR,Term Loan,5/31/21,7/23/24,-365,Fixed,0.0931,0.103,Amortizing,Monthly,0.0314,0.1931,0.55,220958.7,0,1,0,0,0,154078.91,Cash,42653.73,Write-off,23466.92,v3.0,4/12/22,3815.96,23466.92,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00035,BR00035,GRP046,FAC0098,PORT8,Borrower_35,Energy,USA,Corporate,A1,AA,0,785894.79,497087.41,GBP,Term Loan,11/3/15,6/21/19,-2224,Fixed,0.1196,0.1073,Amortizing,Monthly,0.3154,0.425,0.63,497087.41,1,3,1,0,0,191376.19,Real Estate,94448.94,Write-off,133095.15,v1.0,7/8/17,98772.26,133095.15,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00036,BR00036,GRP006,FAC0079,PORT7,Borrower_36,Energy,South Africa,Retail,B2,BB,1,337887.17,178424.57,INR,Term Loan,4/29/15,7/31/16,-3279,Variable,0.0851,0.0809,Revolving,Monthly,0.1856,0.3002,0.47,178424.57,1,2,0,10,0,45138.79,Inventory,70702.47,Sell Collateral,25174.64,v3.0,2/2/16,15564.33,25174.64,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00037,BR00037,GRP007,FAC0031,PORT7,Borrower_37,Energy,Germany,Corporate,B1,B,1,452895.19,304700.1,ZAR,Term Loan,10/9/16,3/9/18,-2693,Variable,0.0629,0.0572,Revolving,Monthly,0.2979,0.4437,0.43,304700.1,1,3,1,60,0,264480.27,Receivables,152254.61,Write-off,58134.04,v2.0,6/1/17,39031.17,58134.04,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00038,BR00038,GRP003,FAC0040,PORT8,Borrower_38,Manufacturing,Brazil,SME,A2,AAA,0,234624.45,139617.03,GBP,Term Loan,10/22/21,10/12/24,-284,Variable,0.0511,0.0423,Bullet,Semi-Annually,0.1328,0.2961,0.54,139617.03,1,2,0,120,0,92805.16,Receivables,6782.87,Sell Collateral,22323.93,v1.0,4/1/23,10012.22,22323.93,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00039,BR00039,GRP026,FAC0072,PORT6,Borrower_39,Manufacturing,India,Retail,B1,BB,1,751628.16,503108.04,GBP,Term Loan,5/27/20,1/21/23,-914,Variable,0.1001,0.0503,Revolving,Semi-Annually,0.0664,0.2608,0.58,503108.04,1,2,0,10,0,355680.08,Real Estate,170131.95,Legal Action,76102.13,v2.0,6/21/20,19375.7,76102.13,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00040,BR00040,GRP020,FAC0064,PORT2,Borrower_40,Manufacturing,UK,Corporate,A2,BBB,0,341446.16,274878.19,ZAR,Term Loan,12/12/21,2/3/26,195,Variable,0.1005,0.0667,Revolving,Quarterly,0.3273,0.4726,0.35,274878.19,1,3,1,60,0,261583.81,Inventory,19210.83,Restructure,45467.6,v2.0,5/25/25,31488.67,45467.6,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00041,BR00041,GRP026,FAC0036,PORT4,Borrower_41,Manufacturing,India,Retail,A2,B,0,52061.96,35676.24,USD,Term Loan,7/30/19,2/21/22,-1248,Fixed,0.1244,0.079,Bullet,Quarterly,0.2273,0.4199,0.54,35676.24,1,3,1,30,1,15084.14,Receivables,17442.87,Legal Action,8089.44,v1.0,11/25/21,4378.97,8089.44,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00042,BR00042,GRP035,FAC0033,PORT3,Borrower_42,Manufacturing,South Africa,Retail,A2,AAA,0,223014.22,135587.22,EUR,Term Loan,8/1/23,9/9/27,778,Variable,0.0319,0.055,Amortizing,Monthly,0.4362,0.5355,0.5,135587.22,1,3,1,10,0,134065.2,Cash,66710.82,Write-off,36303.48,v3.0,3/20/24,29571.57,36303.48,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00043,BR00043,GRP020,FAC0059,PORT1,Borrower_43,Manufacturing,India,SME,B2,B,1,486721.05,432699.16,ZAR,Term Loan,5/13/23,9/19/24,-307,Variable,0.0388,0.0955,Bullet,Semi-Annually,0.2615,0.3279,0.51,432699.16,1,3,1,90,1,299866.04,Receivables,196608.05,Legal Action,72359.85,v1.0,7/16/23,57706.92,72359.85,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00044,BR00044,GRP008,FAC0084,PORT9,Borrower_44,Healthcare,UK,SME,B2,AA,0,640415.19,495795.49,INR,Term Loan,1/31/18,8/1/22,-1087,Variable,0.0799,0.0755,Bullet,Semi-Annually,0.1693,0.3685,0.35,495795.49,1,2,0,90,0,403471.67,Inventory,106645.44,Sell Collateral,63945.22,v3.0,7/7/19,29378.36,63945.22,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00045,BR00045,GRP038,FAC0072,PORT9,Borrower_45,Banking,South Africa,Retail,B2,A,0,693084.61,510896.19,INR,Term Loan,3/14/19,1/19/21,-1646,Fixed,0.1462,0.0965,Revolving,Semi-Annually,0.0547,0.1175,0.25,510896.19,1,2,0,60,0,306912.54,Guarantee,207364.92,Restructure,15007.58,v3.0,8/14/20,6986.51,15007.58,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00046,BR00046,GRP036,FAC0099,PORT10,Borrower_46,Energy,South Africa,Corporate,C1,AAA,0,663601.58,406205.41,ZAR,Term Loan,5/21/17,4/2/19,-2304,Variable,0.0335,0.0551,Amortizing,Semi-Annually,0.063,0.2398,0.26,406205.41,1,2,0,30,0,197497.55,Guarantee,45933.52,Sell Collateral,25326.09,v1.0,11/22/17,6653.64,25326.09,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00047,BR00047,GRP047,FAC0042,PORT10,Borrower_47,Energy,USA,Retail,A2,AA,0,664197.74,355208.11,USD,Term Loan,8/9/16,10/11/20,-1746,Fixed,0.0627,0.0678,Revolving,Annually,0.3731,0.5689,0.31,355208.11,1,3,1,0,0,153822.08,Inventory,60544.51,Write-off,62644.15,v2.0,2/19/18,41083.73,62644.15,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00048,BR00048,GRP004,FAC0001,PORT4,Borrower_48,Banking,UK,Retail,B1,A,0,131541.16,94046.25,USD,Term Loan,6/1/17,4/15/21,-1560,Variable,0.1196,0.0578,Bullet,Quarterly,0.1488,0.3006,0.46,94046.25,1,2,0,60,0,92729.71,Inventory,10369.47,Legal Action,13004.34,v3.0,7/19/20,6437.28,13004.34,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00049,BR00049,GRP046,FAC0082,PORT7,Borrower_49,Banking,USA,SME,A1,A,1,90633.99,84369.57,BRL,Term Loan,6/29/22,6/23/25,-30,Variable,0.1298,0.1076,Amortizing,Monthly,0.0307,0.0835,0.66,84369.57,0,1,0,0,0,51976.69,Inventory,24288.28,Restructure,4649.61,v1.0,12/7/24,1709.5,4649.61,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00050,BR00050,GRP013,FAC0100,PORT6,Borrower_50,Banking,South Africa,Corporate,A2,AA,1,533483.29,372309.1,GBP,Term Loan,8/9/21,11/6/24,-259,Fixed,0.0508,0.0369,Bullet,Monthly,0.162,0.2629,0.59,372309.1,1,2,0,30,0,215025.01,Cash,117877.65,Write-off,57749.24,v2.0,10/6/24,35585.3,57749.24,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00051,BR00051,GRP041,FAC0039,PORT5,Borrower_51,Energy,USA,SME,C1,AAA,0,459927.15,442485.39,INR,Term Loan,7/10/23,10/8/27,807,Fixed,0.0368,0.0585,Amortizing,Monthly,0.2866,0.4319,0.69,442485.39,1,3,1,90,0,230990.19,Real Estate,97294.31,Write-off,131865.51,v2.0,10/10/26,87503.26,131865.51,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00052,BR00052,GRP046,FAC0011,PORT9,Borrower_52,Healthcare,UK,Retail,A2,B,0,460739.03,416926.42,INR,Term Loan,3/20/21,6/12/22,-1137,Fixed,0.0737,0.0705,Amortizing,Annually,0.3294,0.4276,0.68,416926.42,1,3,1,60,0,355904.84,Inventory,169056.74,Sell Collateral,121228.86,v3.0,1/20/22,93388.18,121228.86,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00053,BR00053,GRP010,FAC0043,PORT2,Borrower_53,Energy,South Africa,Retail,B1,A,0,654359.25,348744.64,ZAR,Term Loan,8/3/15,2/15/20,-1985,Variable,0.0455,0.1066,Revolving,Monthly,0.0563,0.2081,0.33,348744.64,1,2,0,30,0,224044.27,Guarantee,168166.41,Write-off,23949.34,v3.0,1/10/20,6479.33,23949.34,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00054,BR00054,GRP014,FAC0044,PORT8,Borrower_54,Retail,UK,Retail,A2,AAA,1,676714.07,618841.14,USD,Term Loan,9/7/18,5/25/20,-1885,Fixed,0.1094,0.0758,Revolving,Quarterly,0.372,0.5248,0.54,618841.14,1,3,1,90,1,233909.24,Receivables,5640.9,Write-off,175374.63,v1.0,2/20/19,124312.81,175374.63,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00055,BR00055,GRP049,FAC0096,PORT8,Borrower_55,Retail,Brazil,Retail,B1,CCC,0,775675.86,701615.77,EUR,Term Loan,1/10/17,11/28/21,-1333,Variable,0.1114,0.0948,Revolving,Annually,0.0911,0.2068,0.38,701615.77,1,2,0,60,0,455724.62,Inventory,340139.33,Sell Collateral,55135.77,v2.0,11/5/19,24288.53,55135.77,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00056,BR00056,GRP034,FAC0016,PORT5,Borrower_56,Manufacturing,UK,SME,B2,BB,1,966942.79,878414.94,INR,Term Loan,11/30/20,4/5/24,-474,Fixed,0.1436,0.0634,Bullet,Annually,0.4026,0.4734,0.44,878414.94,1,3,1,30,1,650256.22,Guarantee,410348.71,Restructure,182970.32,v2.0,3/19/21,155605.94,182970.32,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00057,BR00057,GRP009,FAC0005,PORT5,Borrower_57,Construction,South Africa,Retail,B2,BBB,0,386482.26,267864.31,USD,Term Loan,6/12/19,4/5/23,-840,Fixed,0.0607,0.1055,Bullet,Annually,0.05,0.1337,0.67,267864.31,1,2,0,30,0,217570.8,Real Estate,87050.64,Sell Collateral,23995.02,v1.0,2/17/21,8973.45,23995.02,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00058,BR00058,GRP028,FAC0001,PORT10,Borrower_58,Banking,UK,Corporate,B2,AA,0,253670.71,207877.02,USD,Term Loan,5/14/16,8/19/17,-2895,Variable,0.0381,0.0764,Revolving,Monthly,0.3152,0.3746,0.21,207877.02,1,3,1,60,0,47649.4,Inventory,25146.69,Write-off,16352.85,v1.0,4/4/17,13759.8,16352.85,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
LN00059,BR00059,GRP023,FAC0070,PORT6,Borrower_59,Healthcare,UK,Corporate,B2,B,0,268577.26,136469.78,EUR,Term Loan,5/4/19,6/6/22,-1143,Fixed,0.0376,0.0824,Amortizing,Monthly,0.3964,0.4981,0.25,136469.78,1,3,1,120,0,30032.72,Guarantee,51631.9,Legal Action,16993.9,v1.0,6/15/20,13524.16,16993.9,"{""baseline"":0.6,""adverse"":0.3,""optimistic"":0.1}"
